unicode,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
1F606,0.06,0.19,0.06,0.06,0.94,0.06,0.25,0.31
1F607,0,0.31,0,0,0.72,0,0.17,0.5
1F608,0.14,0.44,0.06,0.19,0.33,0.08,0.03,0
1F609,0,0.42,0,0,0.44,0.08,0.28,0.47
1F60A,0,0.42,0,0,0.92,0,0.33,0.47
1F60B,0,0.47,0,0,0.78,0,0.19,0.11
1F60C,0,0.33,0,0.11,0.81,0,0.22,0.61
1F60D,0,0.31,0,0,0.83,0,0.5,0.5
1F60E,0,0.22,0,0,0.75,0,0.06,0.33
1F60F,0.22,0.33,0.28,0.14,0.22,0.22,0.11,0.22
1F610,0.14,0.33,0.31,0.17,0.06,0.25,0.31,0.08
1F611,0.28,0.22,0.47,0.14,0,0.33,0.19,0.17
1F612,0.58,0.14,0.64,0.17,0,0.42,0.11,0
1F613,0.19,0.44,0.31,0.64,0,0.36,0.17,0.11
1F614,0.25,0.22,0.31,0.28,0,0.72,0.19,0.14
1F615,0.19,0.42,0.36,0.36,0,0.39,0.28,0.17
1F616,0.22,0.36,0.67,0.5,0.08,0.53,0.11,0.11
1F618,0,0.33,0,0,0.72,0,0.17,0.61
1F619,0,0.47,0,0,0.83,0,0.17,0.83
1F61A,0,0.44,0,0,0.86,0,0.22,0.67
1F61B,0,0.31,0,0.03,0.69,0,0.28,0.19
1F61C,0,0.42,0,0.06,0.64,0,0.28,0.11
1F61D,0,0.22,0.06,0.08,0.83,0,0.22,0.14
1F61E,0.39,0.19,0.5,0.33,0,0.92,0.06,0.08
1F61F,0.25,0.44,0.44,0.72,0,0.69,0.17,0.08
1F620,1,0.17,0.56,0.17,0,0.25,0.11,0.08
1F621,1,0.11,0.56,0.11,0,0.36,0.08,0.06
1F622,0.25,0.08,0.36,0.5,0,1,0.08,0.11
1F623,0.31,0.28,0.67,0.47,0,0.64,0,0.08
1F624,0.75,0.11,0.64,0.14,0,0.25,0.03,0
1F625,0.14,0.19,0.25,0.33,0.03,0.81,0.08,0.06
1F628,0.17,0.39,0.33,0.97,0,0.56,0.39,0.14
1F629,0.33,0.25,0.5,0.47,0,0.75,0.14,0.08
1F62A,0.11,0.08,0.44,0.28,0,0.64,0.06,0
1F62B,0.36,0.14,0.64,0.17,0.11,0.72,0.06,0.06
1F62C,0.14,0.53,0.28,0.44,0.17,0.11,0.25,0.11
1F62D,0.22,0.08,0.36,0.33,0,1,0.08,0.08
1F630,0.22,0.31,0.39,0.83,0,0.69,0.08,0.06
1F631,0.28,0.42,0.42,0.92,0.06,0.25,0.69,0.11
1F633,0.06,0.36,0.33,0.5,0.14,0.19,0.44,0.08
1F634,0,0.06,0.14,0,0.03,0.03,0,0.03
1F636,0.06,0.22,0.33,0.36,0,0.14,0.19,0.03
1F637,0.03,0.17,0.53,0.5,0,0.22,0.03,0.11
1F639,0,0.17,0,0,0.94,0,0.14,0.28
1F63B,0,0.42,0,0,0.75,0.06,0.33,0.42
1F645,0.47,0.25,0.53,0.33,0.06,0.33,0.11,0.19
1F646,0.03,0.33,0,0,0.39,0,0.03,0.61
1F648,0,0.39,0.17,0.17,0.28,0.03,0.5,0.22
1F64A,0.06,0.44,0.19,0.47,0.14,0.08,0.42,0.28
1F64B,0,0.53,0,0,0.44,0,0.19,0.25
1F64C,0,0.33,0,0,0.72,0,0.39,0.47
1F64F,0.06,0.44,0,0.11,0.25,0.11,0.17,0.58
203C,0.44,0.42,0.11,0.06,0.14,0,0.89,0.03
21A9,0,0.06,0,0,0,0,0,0.08
21AA,0.06,0.19,0,0,0,0,0,0.11
25B6,0,0.08,0,0,0.03,0,0,0
25C0,0,0.06,0,0,0,0,0.06,0.11
2600,0,0.22,0,0,0.44,0,0.06,0.14
2611,0,0.22,0,0,0.25,0,0,0.47
261D,0.11,0.31,0.11,0.11,0.03,0.11,0,0.17
263A,0,0.42,0,0,1,0,0.39,0.5
2665,0,0.28,0,0,0.72,0,0.11,0.56
267B,0.03,0.19,0.03,0,0.03,0.03,0,0.28
26A1,0.28,0.31,0.06,0.25,0.08,0,0.36,0.14
26BD,0,0.33,0,0.06,0.25,0,0,0.06
2705,0,0.31,0,0,0.19,0,0,0.33
2708,0,0.44,0,0.11,0.28,0.11,0.19,0.28
270A,0.25,0.5,0.17,0.11,0.03,0.11,0.08,0.36
270B,0.22,0.25,0.19,0.11,0.06,0.06,0.08,0.28
270C,0,0.42,0,0,0.61,0,0.17,0.47
2714,0,0.25,0,0,0.14,0,0,0.36
2728,0,0.36,0,0.06,0.53,0,0.44,0.31
2744,0.11,0.33,0.14,0.17,0.28,0.14,0.22,0.17
274C,0.5,0.14,0.58,0.25,0,0.31,0.08,0.06
2757,0.44,0.42,0.31,0.42,0.08,0.17,0.81,0.11
2764,0,0.36,0,0,0.69,0,0.14,0.67
27A1,0,0.06,0,0,0,0,0,0.22
2B05,0.17,0.14,0.17,0.14,0,0.14,0.03,0.06
2B50,0,0.17,0,0,0.39,0,0.17,0.22
